record_label,catalog_number,artist,album,image
Seraphim,S-60208,Nathan Milstein,Goldmark: Violin Concerto in A minor / Beethoven: The Two Romances,records/136/PXL_20240925_024740340.jpg
MHS,MHS 4214,The Osipov Balalaika Orchestra,A Program of Classic and Folk Favorites,records/136/PXL_20240925_024746291.jpg
London Stereo Treasury Series,STS 15066,Balakirev / Liadov,Thamar-Symphonic Poem / Orchestral Music,records/136/PXL_20240925_024752596.MP.jpg
Nonesuch,H-71254,"Gerald English, Tenor with The Jaye Consort",Medieval Music,records/136/PXL_20240925_024758799.jpg
Nonesuch,H-71345,The Boston Camerata,A Medieval Christmas,records/136/PXL_20240925_024804935.jpg
The Musical Heritage Society Inc.,MHS 915,Choir of the Frati Minori of Busto Arsizio,"Gregorian Chant: Missa III Nativitatis, Missa Paschalis, Missa Pro Defunctis",records/136/PXL_20240925_024811348.jpg
Harmonia Mundi,HM 1009,Clemencic Consort,Danses Anciennes de Hongrie,records/136/PXL_20240925_024816983.jpg
harmonia mundi,HMU 963,"Zeger Vandersteene, René Clemencic, András Kecskés",Les Plaisirs de la Renaissance,records/136/PXL_20240925_024823005.jpg
The Musical Heritage Society Inc.,MHS 870,John Dowland,Music of Love and Friendship,records/136/PXL_20240925_024828872.jpg
Vanguard,VSD-71175,The Waverly Consort,Las Cantigas de Santa Maria,records/136/PXL_20240925_024834479.jpg
Decca,DL 9480,New York Pro Musica,Music of the Medieval Court and Country (For the Christmas Season),records/136/PXL_20240925_024841767.MP.jpg
Archiv Produktion,2535 157,Claudio Monteverdi,Geistliche Konzerte,records/136/PXL_20240925_024848982.jpg
Musical Heritage Society Inc.,MHS 905,Paris Polyphonic Ensemble,Music at the Court of Henry VIII and Elizabeth I,records/136/PXL_20240925_024855017.jpg
Not specified,MHS 702,Various Artists,Medieval Courtly Monody: Arabian-Andalusian Music,records/136/PXL_20240925_024900641.MP.jpg
BBC Records,,David Munrow and The Early Music Consort of London,The Hobbit / Hajji Baba / The Jew of Malta / Much Ado About Nothing,records/136/PXL_20240925_024906714.jpg
Nonesuch,H-71012,The Roger Blanchard Ensemble with the Poulteau Consort,Court and Ceremonial Music of the 16th Century,records/136/PXL_20240925_024912636.jpg
Turnabout,TV 34024,Montréal Bach Choir,Music of the Spanish Renaissance at the Court of Emperor Charles the Fifth,records/136/PXL_20240925_024918911.MP.jpg
The Musical Heritage Society Inc.,MHS 3178,Jean-Baptiste Loeillet,Five Suites for Harpsichord,records/136/PXL_20240925_024926174.jpg
Nonesuch,H-71046,Georg Philipp Telemann,Chamber Music with Recorder,records/136/PXL_20240925_024932654.MP.jpg
Summit,SUM 1051,Handel,Sonatas for Flute and Harpsichord,records/136/PXL_20240925_024939090.jpg
Amphion,CZ118,The Telemann Society,Telemann: The Faithful Musicmaster Volume Two,records/136/PXL_20240925_024946778.jpg
London Stereo Treasury Series,STS 15105,César Franck,Organ Works Volume Three,records/136/PXL_20240925_024953025.jpg
Westminster,SPL 730,Schubert,Trout Quintet / The Guitar Quartet,records/136/PXL_20240925_024958759.jpg
Counterpoint / Esoteric,5608,Karl Ristenpart conducting The Orchestra of the Sarre,Baroque Music Concert,records/136/PXL_20240925_025005813.jpg
RCA Victrola,VICS-1328,Rene Weis,Dance Music of the Renaissance,records/136/PXL_20240925_025013075.jpg
