record_label,catalog_number,artist,album,image
Transatlantic,TRA 228,Cruel Sister,Pentangle,records/107/PXL_20240919_010819652.jpg
K-Tel,BSX-1632,Various Artists,Blues Volume 1,records/107/PXL_20240919_010830783.jpg
Chess,LP 1432,Chuck Berry,One Dozen Berrys,records/107/PXL_20240919_010836427.MP.jpg
MCA Records,MCA-27036,Bobby Bland,Two Steps from the Blues,records/107/PXL_20240919_010842206.MP.jpg
BluesWay,BLS-6012,John Lee Hooker,Urban Blues,records/107/PXL_20240919_010847680.jpg
Chess,2CH-60012,Unknown,Blues Volume 2,records/107/PXL_20240919_010857093.jpg
Checker,LP 1436,Bo Diddley,Go Bo Diddley,records/107/PXL_20240919_010902983.jpg
MCA Records,MCA-27013,Bobby Bland,The Best of Bobby Bland,records/107/PXL_20240919_010911220.MP.jpg
,,Doc & Merle Watson,pickin' the blues,records/107/PXL_20240919_010917069.jpg
Atlantic,18,Stephane Grappelli,Feeling + Finesse = Jazz,records/107/PXL_20240919_010921592.jpg
Vanguard Cardinal Series,VCS-10065,Pierre Gossez a Jazz Quintet,Bach Takes a Trip,records/107/PXL_20240919_010928081.jpg
,,"John McLaughlin, Al Di Meola, Paco de Lucía","Passion, Grace & Fire",records/107/PXL_20240919_010933447.jpg
Columbia Records,CS 8192,The Dave Brubeck Quartet,Time Out,records/107/PXL_20240919_010938671.jpg
Columbia,PC 33927,David Bromberg Band,Midnight On The Water,records/107/PXL_20240919_010946872.jpg
,,Michael Coleman,The Classic Recordings of Michael Coleman,records/107/PXL_20240919_010953243.MP.jpg
ABC-Paramount,ABC 415,Ray Charles,Greatest Hits,records/107/PXL_20240919_010958510.jpg
Philo,1042,The Boys of the Lough,The Piper's Broken Finger,records/107/PXL_20240919_011003640.jpg
Warner Bros.,1589,"Peter, Paul and Mary",A Song Will Rise,records/107/PXL_20240919_011009694.MP.jpg
Warner Bros. Records,2552,"Peter, Paul and Mary","The Best of Peter, Paul and Mary: (Ten) Years Together",records/107/PXL_20240919_011016786.jpg
Warner Bros.,1507,"Peter, Paul and Mary",In the Wind,records/107/PXL_20240919_011023449.jpg
,,Norman Blake,Lighthouse on the Shore,records/107/PXL_20240919_011028813.MP.jpg
Vanguard,VSD-6570/1,joan baez,blessed are...,records/107/PXL_20240919_011039391.jpg
Mouth Music,72375,Tide,Almost Live,records/107/PXL_20240919_011044836.jpg
Atlantic Records,SD2-504,Various Artists,The Soul Years,records/107/PXL_20240919_011051813.jpg
Liberty,LST-8055,The Ventures,Golden Greats by The Ventures,records/107/PXL_20240919_011057011.MP.jpg
