record_label,catalog_number,artist,album,image
Vox,PL 10.210,"Gaspar Cassado, Bamberg Symphony, Jonel Perlea",Cello Concerto in A Minor,records/401/PXL_20240916_012246554.jpg
Turnabout Vox,TV 34281,"Maura Moreira, Edith Mathis, Christa Lennert, Margarete Witte-Waldbauer, Robert Titz, Innsbruck Symphony Orchestra & Chorus, Robert Wagner","Schumann, Wagner, Brahms, Mahler",records/401/PXL_20240916_012251279.MP.jpg
Westminster,WST-17111,Allegri String Quartet,Haydn String Quartets,records/401/PXL_20240916_012258213.jpg
Urania,US 5100,Berlioz,"Funeral and Triumphal Symphony, Opus 15",records/401/PXL_20240916_012303239.jpg
Westminster,W-9405,Giovanni Palestrina,Missa Papae Marcelli,records/401/PXL_20240916_012308426.jpg
Angel,S-36520,Yehudi Menuhin,Two Violin Concertos,records/401/PXL_20240916_012314151.jpg
Deutsche Grammophon,2535 116,Robert Schumann,Symphony No. 3 'Rhenish' / 'Manfred' Overture,records/401/PXL_20240916_012319203.MP.jpg
Parliament,PLP(S)-168,Shostakovich,"Symphony No. 5, Op. 47",records/401/PXL_20240916_012325659.jpg
Angel Records,S 3181,Shostakovitch,Symphony No. 13,records/401/PXL_20240916_012332371.MP.jpg
Counterpoint,CPT 555,Aldo Parisot,Boccherini Cello Concerto in B Flat Major / Vivaldi Cello Concerti in E Minor & A Minor,records/401/PXL_20240916_012338330.jpg
Counterpoint/Esoteric,,Karl Ristenpart conducting the Orchestra of the Sarre,"Suites for Orchestra 1 and 2, Vol. 1",records/401/PXL_20240916_012344773.jpg
RCA Victrola,VICS-1265,"Strauss, Reiner/Chicago Symphony","Also Sprach Zarathustra, Op. 30",records/401/PXL_20240916_012350083.jpg
Columbia Masterworks,M 30544,Charles Ives,New Music of Charles Ives: Seventeen First Recordings,records/401/PXL_20240916_012357215.jpg
Counterpoint / Esoteric,5601,Bartok,"Divertimento for String Orchestra / Music for Strings, Percussion & Celesta",records/401/PXL_20240916_012401914.jpg
Columbia Masterworks,MS 6657,Philippe Entremont,Liszt: Concertos Nos. 1 and 2,records/401/PXL_20240916_012407173.jpg
Angel,36271,"Klemperer, The New Philharmonia",Bruckner Symphony No. 6 in A,records/401/PXL_20240916_012414711.jpg
Heliodor,HS 25061,Borodin / Tchaikovsky,Symphony No.2 in B Minor / Romeo and Juliet,records/401/PXL_20240916_012420119.jpg
CBS Masterworks,M 35103,Jean-Pierre Rampal / Alexandre Lagoya / Claude Bolling,Picnic Suite,records/401/PXL_20240916_012425865.jpg
Deutsche Grammophon,139011,"Berliner Philharmoniker, Herbert von Karajan",Bruckner: Symphonie Nr. 9 D-Moll,records/401/PXL_20240916_012431648.jpg
Deutsche Grammophon,139 132 SLPM,"Anton Bruckner, Eugen Jochum",Symphonie Nr. 2,records/401/PXL_20240916_012438113.jpg
Candide,CE 31045,Unknown,Alkan,records/401/PXL_20240916_012444657.jpg
Melodiya/Angel,SR-40133,Liszt,Dante Symphony,records/401/PXL_20240916_012450099.jpg
Columbia Masterworks,MS 7001,"Ormandy conducts Rachmaninoff, The Philadelphia Orchestra",Symphony No. 3 and Vocalise,records/401/PXL_20240916_012455648.jpg
Melodiya / Angel,SR-40162,Gennady Rozhdestvensky conducting The Moscow Radio Symphony Orchestra,Borodin: Symphony No. 1 in E Flat / Rachmaninoff: The Rock (Symphonic Fantasy),records/401/PXL_20240916_012501894.jpg
Angel,S-36757,"David Oistrakh, Mstislav Rostropovich, Sviatoslav Richter, Herbert von Karajan",Beethoven: The 'Triple' Concerto in C,records/401/PXL_20240916_012507290.jpg
